id;titulo;ano;diretor;duracao;generos;pais;orcamento;receita;nota_imdb;ator_1;ator_2;ator_3
tt0036959;La rivincita dell'uomo invisibile;1944;Ford Beebe;78;Horror| Sci-Fi;USA;NA;NA;5,9;Jon Hall; Leon Errol; John Carradine
tt0036961;Irish Eyes Are Smiling;1944;Gregory Ratoff;90;Drama| Music| Romance;USA;NA;NA;6,0;Monty Woolley; June Haver; Dick Haymes
tt0036962;Avvenne... domani;1944;René Clair;85;Comedy| Fantasy;USA;NA;NA;7,1;Dick Powell; Linda Darnell; Jack Oakie
tt0036966;Jam Session;1944;Charles Barton;77;Comedy| Music| Romance;USA;NA;NA;6,4;Ann Miller; Jess Barker; Charles D. Brown
tt0036969;La porta proibita;1943;Robert Stevenson;97;Drama| Romance;USA;1705000;NA;7,5;Orson Welles; Joan Fontaine; Margaret O'Brien
tt0036970;Janie;1944;Michael Curtiz;102;Comedy| Romance| War;USA;NA;NA;6,0;Joyce Reynolds; Robert Hutton; Edward Arnold
tt0036972;Sette settimane di guai;1944;Joe May;79;Comedy| Romance| War;USA;NA;NA;5,9;Simone Simon; James Ellison; William Terry
tt0036975;La donna della giungla;1944;Reginald Le Borg;61;Drama| Fantasy| Horror;USA;NA;NA;5,0;Evelyn Ankers; J. Carrol Naish; Samuel S. Hinds
tt0036983;Le chiavi del paradiso;1944;John M. Stahl;137;Drama| War;USA;3000000;NA;7,2;Gregory Peck; Thomas Mitchell; Vincent Price
tt0036984;Kismet;1944;William Dieterle;100;Adventure| Fantasy;USA;3000000;NA;6,2;Ronald Colman; Marlene Dietrich; James Craig
